geometry,composition,function,structure
POINT (19.870874999997664 -34.26887499999597),0.1399034857749939,764,0
POINT (20.061624999997644 -34.58362499999593),0.2063448280096054,911,0
POINT (20.044124999997646 -34.57912499999593),0.16910894215106964,1406,3
POINT (20.489874999997593 -34.47387499999595),0.9915000200271606,1650,9
POINT (19.943874999997657 -34.41137499999596),0.13563086092472076,1155,2
POINT (20.229124999997623 -34.33312499999597),0.4595791697502136,970,2
POINT (20.070374999997643 -34.59662499999593),0.15163211524486542,1155,3
POINT (19.959124999997655 -34.28137499999597),0.16848509013652802,965,0
POINT (20.544624999997588 -34.18312499999598),0.13615095615386963,730,10
POINT (20.634874999997574 -34.30637499999597),0.43841496109962463,1354,8
POINT (20.603624999997578 -34.437624999995954),0.9915000200271606,2033,12
POINT (20.032624999997648 -34.73737499999592),0.5217112898826599,1450,7
POINT (20.456374999997596 -34.44987499999595),0.9915000200271606,1942,9
POINT (20.284124999997616 -34.35737499999596),0.19833999872207642,995,0
POINT (20.398374999997603 -34.38537499999596),0.19011716544628143,1479,4
POINT (19.788374999997675 -34.64687499999593),0.5286501049995422,1956,12
POINT (19.967624999997653 -34.78137499999591),0.8519660234451294,1385,5
POINT (20.289124999997615 -34.52862499999594),0.8089484572410583,1578,9
POINT (20.135624999997635 -34.590124999995936),0.17298659682273865,1421,7
POINT (20.017874999997648 -34.71037499999592),0.1902344822883606,1417,1
POINT (20.33537499999761 -34.42037499999596),0.5607733726501465,1428,3
POINT (19.82137499999767 -34.73487499999592),0.9915000200271606,1787,8
POINT (20.470624999997593 -34.39012499999596),0.48017457127571106,1556,4
POINT (19.80987499999767 -34.72037499999592),0.9915000200271606,1851,7
POINT (20.294624999997616 -34.45037499999595),0.5538290143013,1235,0
POINT (20.048874999997643 -34.365374999995964),0.1348908543586731,1085,0
POINT (19.89937499999766 -34.675874999995926),0.1769346445798874,1164,1
POINT (20.15987499999763 -34.56237499999594),0.15855036675930023,1091,0
POINT (20.4016249999976 -34.21112499999598),0.14879797399044037,699,10
POINT (20.046124999997645 -34.58162499999594),0.16910894215106964,1749,0
POINT (19.84437499999767 -34.670874999995924),0.5406339764595032,1351,4
POINT (20.398374999997603 -34.55287499999594),0.8621854186058044,1584,9
POINT (19.948124999997656 -34.41187499999596),0.13563086092472076,884,0
POINT (19.797374999997675 -34.72012499999592),0.9915000200271606,1890,8
POINT (20.132624999997635 -34.45862499999595),0.1405048370361328,803,0
POINT (19.767874999997677 -34.184874999995984),0.14355769753456116,777,10
POINT (19.971374999997654 -34.48287499999595),0.14914199709892273,766,0
POINT (19.785874999997674 -34.46762499999595),0.5319100618362427,1651,0
POINT (20.127124999997633 -34.34662499999597),0.18309932947158813,1045,0
POINT (20.08512499999764 -34.26262499999597),0.14739665389060974,649,0
POINT (20.209874999997623 -34.30737499999597),0.1297789216041565,718,0
POINT (20.050874999997642 -34.32287499999597),0.1358952671289444,1181,0
POINT (20.658124999997572 -34.378624999995964),0.5466616153717041,1294,2
POINT (19.994874999997652 -34.415374999995954),0.12727582454681396,667,10
POINT (20.529624999997587 -34.20987499999598),0.17329008877277374,1058,6
POINT (20.480874999997592 -34.180874999995986),0.1844477653503418,864,0
POINT (20.60237499999758 -34.177874999995986),0.13488183915615082,979,0
POINT (20.281124999997616 -34.19812499999598),0.1686369627714157,809,0
POINT (19.789374999997676 -34.22387499999598),0.14694200456142426,939,0
POINT (20.215124999997624 -34.489124999995944),0.497666597366333,1142,10
POINT (19.954874999997656 -34.46537499999595),0.12627142667770386,780,10
POINT (19.859374999997666 -34.19337499999598),0.15088126063346863,771,9
POINT (20.409374999997603 -34.39987499999596),0.4860441982746124,1739,10
POINT (20.161124999997632 -34.66887499999593),0.5465744137763977,1540,8
POINT (20.536374999997587 -34.285624999995974),0.449903666973114,935,0
POINT (20.15862499999763 -34.54462499999594),0.19083358347415924,1719,10
POINT (19.91937499999766 -34.326874999995965),0.12526638805866241,819,0
POINT (20.408624999997603 -34.306124999995966),0.17503735423088074,922,0
POINT (19.769624999997678 -34.56212499999594),0.21928246319293976,2339,12
POINT (20.51462499999759 -34.41737499999596),0.9915000200271606,2091,7
POINT (20.59187499999758 -34.221874999995975),0.19162201881408691,818,0
POINT (19.83562499999767 -34.20562499999598),0.15788815915584564,1117,2
POINT (19.961374999997656 -34.70162499999592),0.9915000200271606,1108,7
