geometry,composition,function,structure
POINT (19.82362499999767 -30.918874999996365),0.778348445892334,157,7
POINT (20.410874999997603 -31.41662499999631),0.8447923064231873,204,7
POINT (20.032874999997645 -30.662874999996397),0.8618230223655701,163,3
POINT (20.66012499999757 -31.31862499999632),0.8427446484565735,174,5
POINT (19.893124999997664 -31.40162499999631),0.8212723731994629,428,3
POINT (20.215874999997624 -31.124874999996344),0.8013867139816284,40,2
POINT (20.658624999997574 -31.344124999996318),0.8300440907478333,130,4
POINT (20.137124999997635 -30.791374999996382),0.8500043153762817,180,10
POINT (20.311374999997614 -31.24237499999633),0.8486351370811462,303,10
POINT (20.062874999997643 -31.074374999996348),0.8038233518600464,152,6
POINT (20.00112499999765 -30.855124999996374),0.8111165761947632,156,4
POINT (19.81787499999767 -31.438624999996307),0.7708728909492493,193,5
POINT (19.789124999997675 -30.73937499999639),0.9053707122802734,215,7
POINT (19.888624999997663 -30.767874999996383),0.8061007261276245,110,4
POINT (20.474874999997596 -30.998374999996358),0.8559944033622742,77,2
POINT (19.920124999997658 -30.919374999996368),0.7651036977767944,93,5
POINT (19.861624999997666 -31.07612499999635),0.8227484822273254,117,5
POINT (20.270874999997616 -31.254624999996327),0.8278152942657471,243,8
POINT (19.964874999997654 -31.262874999996328),0.8266724944114685,240,7
POINT (19.797374999997675 -31.29587499999632),0.8404026627540588,525,1
POINT (20.53512499999759 -31.14812499999634),0.8477628827095032,239,5
POINT (20.560374999997585 -30.870374999996372),0.8523135781288147,304,0
POINT (20.407374999997604 -31.091624999996345),0.8686810731887817,336,10
POINT (20.567124999997585 -30.761874999996387),0.8542792201042175,211,0
POINT (20.006624999997648 -31.23362499999633),0.7684296369552612,209,8
POINT (19.82462499999767 -30.936374999996364),0.778348445892334,191,6
POINT (19.89937499999766 -31.24462499999633),0.8247975707054138,477,7
POINT (19.947374999997656 -31.262374999996325),0.8266724944114685,214,8
POINT (19.898124999997663 -31.264874999996326),0.8283591270446777,658,10
POINT (20.471874999997596 -31.29937499999632),0.8572608828544617,388,0
POINT (20.4023749999976 -30.6446249999964),0.8583824038505554,228,9
POINT (20.052374999997642 -30.936624999996365),0.8506775498390198,279,9
POINT (19.952874999997654 -30.996624999996357),0.7651036977767944,260,7
POINT (20.00787499999765 -30.869124999996373),0.8111165761947632,239,8
POINT (20.25662499999762 -30.995374999996358),0.8548998236656189,190,9
POINT (19.871124999997665 -31.037874999996355),0.8227484822273254,311,9
POINT (20.653874999997573 -30.54862499999641),0.8657147884368896,149,4
POINT (20.659874999997573 -31.22762499999633),0.8604217767715454,155,5
POINT (20.408624999997603 -31.38587499999631),0.8323850631713867,38,2
POINT (20.535374999997586 -30.74287499999639),0.8558397889137268,260,0
POINT (19.883124999997662 -31.021124999996356),0.8227484822273254,405,10
POINT (19.98262499999765 -30.74812499999639),0.8592677116394043,120,3
POINT (20.780124999997557 -30.55787499999641),0.8558802008628845,257,10
POINT (21.149374999997516 -30.599624999996404),0.846942663192749,299,8
POINT (21.459624999997477 -30.767874999996383),0.9788947701454163,389,0
POINT (21.402374999997484 -30.708124999996393),0.9788947701454163,257,9
POINT (21.53087499999747 -31.277874999996325),0.8198762536048889,382,0
POINT (21.132124999997515 -31.099374999996346),0.8457486033439636,424,10
POINT (21.212874999997506 -30.571124999996407),0.8620471358299255,107,3
POINT (21.470624999997476 -30.6226249999964),0.9788947701454163,158,4
POINT (21.259124999997503 -30.570624999996408),0.8615648746490479,238,0
POINT (20.75762499999756 -30.72262499999639),0.8660572171211243,179,6
POINT (21.37737499999749 -30.738874999996387),0.9788947701454163,611,0
POINT (21.223874999997506 -31.15387499999634),0.8479989171028137,212,5
POINT (21.476624999997476 -30.997624999996358),0.8206158876419067,274,9
POINT (20.93187499999754 -30.986374999996357),0.8648777604103088,447,0
POINT (21.008624999997533 -31.374374999996313),0.8292602300643921,384,9
POINT (21.18737499999751 -31.37562499999631),0.8470793962478638,253,9
POINT (20.831124999997552 -30.56862499999641),0.8482546806335449,221,6
POINT (21.162874999997513 -30.742374999996386),0.9788947701454163,222,6
POINT (21.510874999997473 -30.97937499999636),0.8074548244476318,250,7
POINT (21.17737499999751 -30.80562499999638),0.9788947701454163,301,9
POINT (21.44437499999748 -30.929374999996366),0.8206158876419067,343,9
POINT (21.435624999997483 -31.23787499999633),0.8302937150001526,149,3
POINT (21.35087499999749 -31.14412499999634),0.8313952088356018,312,8
POINT (20.998124999997533 -31.302874999996323),0.8333349823951721,235,7
POINT (21.154874999997514 -31.31912499999632),0.851853609085083,150,6
POINT (21.43062499999748 -30.55537499999641),0.9788947701454163,498,0
POINT (20.987874999997533 -30.870624999996373),0.852780818939209,48,3
POINT (21.426624999997482 -30.80612499999638),0.9788947701454163,523,2
POINT (21.53387499999747 -31.31912499999632),0.8198762536048889,424,9
POINT (21.2863749999975 -30.54312499999641),0.8615648746490479,315,0
POINT (20.837874999997553 -31.351374999996317),0.7939833998680115,370,9
POINT (21.490874999997473 -30.668374999996395),0.9788947701454163,313,0
POINT (20.68387499999757 -31.40387499999631),0.8318392634391785,324,10
POINT (21.084624999997523 -30.572124999996408),0.8568072319030762,91,2
POINT (21.207874999997507 -31.026124999996355),0.8438368439674377,321,10
POINT (21.12337499999752 -31.089874999996347),0.8457486033439636,357,8
POINT (21.45337499999748 -30.82487499999638),0.9788947701454163,492,5
POINT (21.35862499999749 -30.800374999996382),0.9788947701454163,393,10
POINT (20.743874999997562 -31.191374999996334),0.8604217767715454,129,4
POINT (21.521874999997472 -30.576374999996407),0.9788947701454163,316,10
POINT (21.51737499999747 -30.692874999996395),0.9788947701454163,343,9
POINT (21.015124999997532 -31.41212499999631),0.8376894593238831,176,5
POINT (20.958624999997536 -31.337124999996316),0.8333349823951721,225,8
POINT (20.92962499999754 -31.006374999996357),0.8629831075668335,362,8
POINT (20.75387499999756 -30.577374999996408),0.8558802008628845,300,9
POINT (20.798374999997556 -31.14862499999634),0.8577032685279846,345,9
POINT (20.94212499999754 -31.095624999996346),0.8592337965965271,187,4
POINT (20.739874999997564 -31.23787499999633),0.8604217767715454,320,8
POINT (21.001374999997534 -30.665374999996395),0.8495554327964783,123,5
POINT (21.138124999997515 -31.000374999996357),0.8387371301651001,402,9
POINT (20.878374999997547 -30.870374999996372),0.8534083962440491,186,8
POINT (21.521874999997472 -30.861124999996374),0.8088508248329163,380,10
POINT (20.707124999997568 -31.196374999996333),0.8604217767715454,281,7
POINT (21.026874999997528 -30.895624999996368),0.8561736345291138,302,10
POINT (21.329374999997494 -31.355124999996317),0.8346914052963257,379,10
POINT (21.00287499999753 -31.387124999996313),0.8292602300643921,419,0
POINT (20.791874999997557 -30.775374999996384),0.8638320565223694,143,6
POINT (21.348374999997493 -31.353624999996317),0.8431249260902405,871,4
POINT (20.76362499999756 -30.69587499999639),0.8660572171211243,280,8
POINT (21.320624999997495 -31.433624999996308),0.8342033624649048,414,10
POINT (20.731374999997563 -31.29512499999632),0.8427446484565735,352,9
POINT (20.909374999997542 -30.692374999996392),0.8621164560317993,234,10
POINT (21.35412499999749 -30.672124999996395),0.9788947701454163,170,7
POINT (21.00537499999753 -30.995124999996357),0.8614886403083801,275,9
POINT (21.17862499999751 -30.687124999996396),0.8439568877220154,254,6
POINT (20.972124999997536 -31.38212499999631),0.813650369644165,461,10
POINT (20.911874999997544 -31.40512499999631),0.7939833998680115,173,3
POINT (20.953124999997538 -30.97862499999636),0.8648777604103088,298,10
POINT (20.92037499999754 -31.39487499999631),0.813650369644165,740,2
POINT (21.54287499999747 -30.854124999996376),0.8088508248329163,292,8
POINT (21.467874999997477 -30.794374999996382),0.9788947701454163,359,10
POINT (21.089874999997523 -31.007624999996356),0.8387371301651001,188,6
POINT (21.00662499999753 -30.853874999996375),0.8584006428718567,77,3
POINT (21.50912499999747 -30.866124999996373),0.8218219876289368,371,10
POINT (21.056624999997524 -30.709624999996393),0.8513025641441345,107,2
POINT (21.43312499999748 -30.604874999996404),0.9788947701454163,177,9
POINT (20.793124999997556 -30.839374999996377),0.8587221503257751,389,0
POINT (21.00537499999753 -30.96612499999636),0.8614886403083801,194,10
POINT (21.20462499999751 -31.31287499999632),0.8579128980636597,207,6
POINT (21.00837499999753 -30.766124999996386),0.8551921248435974,353,0
POINT (20.904374999997543 -30.579874999996406),0.8482546806335449,223,10
POINT (20.756624999997562 -30.708124999996393),0.8660572171211243,242,7
POINT (21.09737499999752 -30.940124999996364),0.8448520302772522,209,8
POINT (20.802374999997557 -30.996124999996358),0.8573939800262451,368,10
POINT (20.992374999997534 -30.883124999996372),0.852780818939209,179,7
POINT (20.950624999997537 -30.99937499999636),0.8629831075668335,196,8
POINT (21.44737499999748 -30.56037499999641),0.9788947701454163,236,7
POINT (20.75537499999756 -30.831124999996376),0.8638320565223694,188,9
POINT (21.226874999997506 -30.677124999996394),0.9788947701454163,114,4
POINT (21.09837499999752 -31.028124999996354),0.8387371301651001,293,8
POINT (21.02237499999753 -30.88837499999637),0.8561736345291138,172,3
POINT (21.079624999997524 -31.440874999996307),0.8420671820640564,316,9
POINT (21.2961249999975 -30.686374999996396),0.9788947701454163,277,10
POINT (21.08737499999752 -31.125624999996344),0.8457486033439636,489,10
POINT (21.36712499999749 -30.587624999996407),0.9788947701454163,86,3
POINT (21.341624999997492 -30.708124999996393),0.9788947701454163,236,10
POINT (20.888874999997544 -31.349124999996317),0.7939833998680115,387,10
POINT (20.673124999997572 -31.389874999996312),0.8318392634391785,302,9
POINT (20.826874999997553 -30.843624999996376),0.8587221503257751,160,2
POINT (21.2826249999975 -31.128624999996344),0.8289318680763245,319,0
POINT (20.83837499999755 -31.32512499999632),0.836391031742096,471,9
POINT (21.17437499999751 -31.07162499999635),0.8438368439674377,336,8
POINT (21.094124999997522 -30.931124999996367),0.8448520302772522,153,3
POINT (20.913374999997544 -31.379874999996314),0.7939833998680115,218,5
POINT (21.326624999997495 -30.582124999996406),0.9788947701454163,297,0
POINT (21.477124999997475 -30.840374999996374),0.9788947701454163,339,3
POINT (20.870124999997547 -30.98662499999636),0.8599486947059631,419,10
POINT (21.00762499999753 -30.81887499999638),0.8551921248435974,44,2
POINT (21.2841249999975 -30.850624999996374),0.8337292075157166,288,10
POINT (21.235124999997506 -30.97387499999636),0.8411241769790649,481,2
POINT (21.112624999997518 -30.856624999996374),0.8526514172554016,98,4
POINT (21.08212499999752 -31.414124999996307),0.8409284353256226,368,0
POINT (21.523374999997472 -31.197624999996336),0.8448540568351746,289,9
POINT (20.961124999997537 -30.6251249999964),0.854276180267334,108,3
POINT (21.2953749999975 -30.868624999996374),0.8337292075157166,247,6
POINT (21.058624999997527 -31.029874999996355),0.8500942587852478,130,4
POINT (21.505124999997474 -31.30087499999632),0.844180703163147,278,8
POINT (20.783124999997558 -31.42637499999631),0.8411685228347778,271,7
POINT (21.00362499999753 -30.601874999996404),0.8495554327964783,87,3
POINT (20.950874999997538 -31.140124999996342),0.8592337965965271,535,10
POINT (21.518374999997473 -30.896374999996368),0.8088508248329163,391,9
POINT (21.321374999997495 -30.816624999996378),0.8251551389694214,237,8
POINT (20.958124999997537 -31.269124999996325),0.8333349823951721,344,8
POINT (21.406624999997483 -30.867124999996374),0.9788947701454163,468,10
POINT (20.809124999997554 -31.437624999996306),0.8411685228347778,136,2
POINT (21.494374999997476 -30.653124999996397),0.9788947701454163,256,10
POINT (21.276624999997498 -31.000374999996357),0.8350178599357605,244,5
POINT (21.01312499999753 -31.383874999996312),0.8376894593238831,754,0
POINT (21.35837499999749 -31.115874999996343),0.8313952088356018,271,8
POINT (21.349124999997493 -31.203874999996334),0.8476486206054688,266,8
POINT (21.083124999997523 -30.97612499999636),0.8592616319656372,252,8
POINT (20.741124999997563 -31.349874999996317),0.8318392634391785,349,10
POINT (21.11362499999752 -30.55912499999641),0.8543818593025208,158,8
POINT (21.341874999997493 -31.094624999996345),0.8313952088356018,446,10
POINT (20.68737499999757 -30.55637499999641),0.8598676919937134,187,5
POINT (21.331124999997492 -30.580624999996406),0.9788947701454163,201,10
POINT (21.068124999997526 -31.05262499999635),0.8500942587852478,228,7
POINT (20.786624999997557 -30.849374999996375),0.8587221503257751,171,6
POINT (21.404374999997486 -30.833124999996375),0.9788947701454163,447,0
POINT (21.09512499999752 -31.127624999996343),0.8457486033439636,377,9
POINT (21.08812499999752 -30.548374999996412),0.8568072319030762,450,0
POINT (20.824624999997553 -30.786374999996383),0.8638320565223694,166,7
POINT (20.75987499999756 -30.794374999996382),0.8638320565223694,77,2
POINT (21.19812499999751 -31.039874999996353),0.8438368439674377,426,0
POINT (20.811624999997555 -30.956124999996362),0.8573939800262451,136,3
POINT (20.808874999997556 -31.440624999996306),0.8411685228347778,180,4
POINT (21.462124999997478 -30.827624999996377),0.9788947701454163,430,9
POINT (20.824124999997554 -31.362624999996314),0.8354976773262024,339,9
POINT (20.749124999997562 -31.220124999996333),0.8604217767715454,106,5
POINT (21.062874999997526 -31.42487499999631),0.8439881205558777,385,10
POINT (20.748624999997563 -30.98312499999636),0.8568560481071472,248,7
POINT (21.544624999997467 -30.684874999996396),0.9788947701454163,266,8
POINT (21.502124999997474 -31.194124999996333),0.8270019292831421,294,8
POINT (21.500124999997475 -31.05937499999635),0.8232832551002502,273,8
POINT (21.160874999997514 -31.436874999996306),0.8399777412414551,323,8
POINT (20.83662499999755 -31.182624999996335),0.8538705706596375,538,0
POINT (21.44862499999748 -31.426874999996308),0.8407024145126343,405,8
POINT (21.46312499999748 -31.23787499999633),0.8302937150001526,477,0
POINT (20.830374999997552 -30.56112499999641),0.8482546806335449,111,1
POINT (20.68012499999757 -31.197124999996333),0.8604217767715454,138,5
POINT (21.18862499999751 -30.604624999996403),0.8463163375854492,354,10
POINT (21.168124999997513 -31.13412499999634),0.8479989171028137,424,9
POINT (21.00012499999753 -30.590374999996406),0.8495554327964783,143,7
POINT (20.874374999997546 -30.880874999996372),0.8534083962440491,198,9
POINT (21.00587499999753 -30.756874999996384),0.8551921248435974,246,9
POINT (21.168874999997513 -31.415624999996307),0.8470793962478638,324,9
POINT (21.170374999997513 -31.189374999996335),0.8541151881217957,155,5
POINT (21.52462499999747 -30.6123749999964),0.9788947701454163,253,0
POINT (21.558374999997465 -31.298124999996322),0.8198762536048889,337,8
POINT (20.99862499999753 -30.951624999996362),0.8648777604103088,119,4
POINT (21.00512499999753 -30.78612499999638),0.8551921248435974,221,8
POINT (21.44887499999748 -30.726374999996388),0.9788947701454163,346,0
POINT (21.500874999997475 -31.085124999996346),0.8232832551002502,551,0
POINT (21.481874999997476 -30.844124999996374),0.9788947701454163,417,0
POINT (21.504374999997474 -31.181624999996338),0.8270019292831421,349,9
POINT (21.54287499999747 -31.244374999996328),0.8175287842750549,296,10
POINT (20.92087499999754 -30.95587499999636),0.8648777604103088,313,9
POINT (21.080124999997523 -30.81637499999638),0.8529651165008545,247,8
POINT (21.055374999997525 -31.058874999996352),0.8500942587852478,276,0
POINT (21.391374999997485 -30.597124999996403),0.9788947701454163,148,5
POINT (21.071874999997522 -30.571124999996407),0.8568072319030762,148,4
POINT (21.388624999997486 -30.548374999996412),0.9788947701454163,156,6
POINT (21.525624999997472 -30.955374999996362),0.8074548244476318,321,9
POINT (21.512374999997473 -30.775874999996383),0.9788947701454163,377,9
POINT (20.813374999997553 -31.026124999996355),0.8620989918708801,345,10
POINT (20.93212499999754 -30.98587499999636),0.8648777604103088,397,0
POINT (21.308124999997496 -31.132874999996343),0.8289318680763245,212,6
POINT (21.424624999997484 -30.652624999996398),0.9788947701454163,179,8
POINT (21.11587499999752 -30.604624999996403),0.846942663192749,284,10
POINT (20.94587499999754 -31.258374999996327),0.8333349823951721,529,10
POINT (20.767624999997558 -30.82137499999638),0.8638320565223694,237,9
POINT (21.008624999997533 -31.439374999996307),0.8355588316917419,249,9
POINT (21.434874999997483 -30.606124999996403),0.9788947701454163,212,9
POINT (20.86412499999755 -31.096874999996345),0.8624235987663269,392,9
POINT (20.835624999997552 -31.267374999996324),0.836391031742096,263,8
POINT (21.55037499999747 -31.215624999996333),0.8448540568351746,243,8
POINT (21.2706249999975 -31.302624999996322),0.8665241599082947,135,3
POINT (20.78112499999756 -30.587874999996405),0.8558802008628845,289,8
POINT (21.00737499999753 -30.922624999996366),0.8614886403083801,210,7
POINT (21.19662499999751 -31.041374999996354),0.8438368439674377,311,8
POINT (22.19612499999739 -30.839874999996375),0.7913806438446045,396,10
POINT (22.1233749999974 -31.036374999996355),0.9788947701454163,356,9
POINT (22.176124999997395 -31.241374999996328),0.8597268462181091,308,8
POINT (21.920374999997424 -30.90337499999637),0.8116130232810974,291,8
POINT (22.44962499999736 -30.762374999996386),0.7561899423599243,325,9
POINT (22.1076249999974 -30.97312499999636),0.7169621586799622,249,8
POINT (22.320874999997375 -30.90062499999637),0.7530540227890015,429,0
POINT (21.824624999997436 -30.81237499999638),0.8278775811195374,323,0
POINT (22.013374999997414 -30.931874999996364),0.7941142320632935,318,9
POINT (21.983624999997417 -30.89612499999637),0.8116130232810974,391,10
POINT (21.681374999997452 -30.784374999996384),0.8210741877555847,264,7
POINT (22.21837499999739 -31.376874999996314),0.8498477935791016,339,9
POINT (22.090124999997403 -31.15612499999634),0.8590626120567322,251,7
POINT (22.409874999997367 -31.245874999996328),0.7381966710090637,398,8
POINT (22.45412499999736 -31.31762499999632),0.7432957887649536,343,10
POINT (22.44512499999736 -30.674874999996394),0.808630108833313,198,7
POINT (22.03062499999741 -31.250874999996327),0.8617010116577148,330,8
POINT (22.325124999997378 -31.15187499999634),0.7843217253684998,208,6
POINT (21.578124999997463 -31.31862499999632),0.8198762536048889,263,10
POINT (22.358874999997372 -31.381624999996312),0.7448901534080505,627,9
POINT (21.61612499999746 -30.97687499999636),0.8159887790679932,470,9
POINT (21.816374999997436 -31.013374999996355),0.8577557802200317,226,8
POINT (22.096624999997402 -31.24112499999633),0.8601712584495544,145,4
POINT (21.937124999997422 -31.42412499999631),0.8602649569511414,450,10
POINT (22.06812499999741 -31.06187499999635),0.8557068109512329,519,10
POINT (21.636874999997456 -31.043624999996354),0.8484586477279663,729,0
POINT (21.570624999997467 -31.16637499999634),0.8448540568351746,379,0
POINT (21.582124999997465 -30.6558749999964),0.9788947701454163,220,7
POINT (22.352124999997372 -31.04087499999635),0.7758923768997192,482,8
POINT (21.837874999997435 -31.34287499999632),0.8520607352256775,317,8
POINT (22.02787499999741 -30.72437499999639),0.8331940770149231,274,10
POINT (21.70262499999745 -30.608624999996405),0.9788947701454163,306,0
POINT (21.647874999997455 -30.6368749999964),0.8535538911819458,376,9
POINT (22.352374999997373 -31.197124999996333),0.7715116739273071,598,0
POINT (22.406624999997366 -30.90012499999637),0.7554671764373779,381,9
POINT (22.073124999997408 -31.29737499999632),0.8617010116577148,319,9
POINT (22.246874999997384 -30.998374999996358),0.7918388843536377,833,0
POINT (21.588624999997464 -31.41912499999631),0.8175884485244751,329,9
POINT (22.406124999997367 -31.177374999996335),0.7715116739273071,692,9
POINT (22.30537499999738 -30.97012499999636),0.7539792656898499,332,8
POINT (21.878624999997427 -31.412624999996307),0.8554189801216125,291,8
POINT (22.18812499999739 -31.432124999996308),0.8450570702552795,218,7
POINT (22.29112499999738 -31.096374999996346),0.7843217253684998,337,10
POINT (22.015124999997415 -30.840374999996374),0.7774341106414795,553,10
POINT (22.020124999997414 -30.919374999996368),0.7941142320632935,471,10
POINT (22.37512499999737 -31.435624999996307),0.6996083855628967,362,9
POINT (22.181124999997394 -30.56287499999641),0.8347993493080139,299,9
POINT (22.03187499999741 -30.56187499999641),0.8414986729621887,166,6
POINT (21.944624999997423 -31.209874999996334),0.8584004044532776,261,8
POINT (21.576874999997464 -30.98437499999636),0.8074548244476318,291,9
POINT (22.323874999997376 -31.420874999996308),0.7487680912017822,501,10
POINT (21.911624999997425 -30.80962499999638),0.8184673190116882,443,0
POINT (22.428374999997363 -31.019624999996356),0.7742155194282532,420,1
POINT (22.39762499999737 -30.98437499999636),0.7464222311973572,499,9
POINT (21.671874999997453 -30.90837499999637),0.8198400139808655,337,8
POINT (21.749124999997445 -31.214124999996333),0.8550414443016052,903,9
POINT (21.897374999997428 -30.929624999996367),0.8243179321289062,151,7
POINT (22.262874999997383 -30.765374999996386),0.7582055330276489,311,0
POINT (21.80162499999744 -31.046374999996353),0.8577557802200317,372,8
POINT (21.760374999997442 -30.97412499999636),0.8225472569465637,365,9
POINT (21.683874999997453 -30.751874999996385),0.8210741877555847,237,6
POINT (22.000624999997413 -30.586374999996405),0.8381643891334534,219,10
POINT (22.30337499999738 -31.104624999996346),0.7843217253684998,465,9
POINT (22.003124999997414 -30.55662499999641),0.8381643891334534,224,9
POINT (21.994874999997414 -30.577874999996407),0.8301265835762024,342,10
POINT (21.80087499999744 -31.011374999996356),0.8577557802200317,347,9
POINT (21.895874999997428 -31.078124999996348),0.8551158308982849,445,8
POINT (21.676624999997454 -31.241374999996328),0.8277162313461304,230,8
POINT (21.687624999997453 -31.189374999996335),0.8550414443016052,524,9
POINT (22.002874999997413 -30.752624999996385),0.8125036358833313,380,9
POINT (22.31337499999738 -31.248624999996327),0.7474480867385864,359,9
POINT (21.710874999997447 -31.286874999996325),0.8252273201942444,593,10
POINT (22.330374999997375 -30.781374999996384),0.7582055330276489,211,8
POINT (21.763124999997444 -30.97812499999636),0.8225472569465637,275,8
POINT (22.438124999997363 -31.130624999996343),0.7752348780632019,520,9
POINT (22.139624999997398 -31.387874999996313),0.8570011854171753,331,10
POINT (22.081124999997407 -30.845374999996377),0.7816603183746338,326,8
POINT (22.04612499999741 -31.058124999996352),0.8557068109512329,284,9
POINT (22.346874999997375 -30.833624999996378),0.7609209418296814,143,5
POINT (22.315124999997376 -30.812874999996378),0.7582055330276489,273,10
POINT (21.801124999997437 -31.263874999996325),0.8553166389465332,609,9
POINT (22.060374999997407 -30.6551249999964),0.8403357267379761,317,0
POINT (22.249874999997385 -30.55062499999641),0.8371256589889526,440,10
POINT (21.67462499999745 -30.793624999996382),0.8210741877555847,437,10
POINT (21.856624999997432 -31.07562499999635),0.8551158308982849,640,10
POINT (22.1341249999974 -31.16712499999634),0.8590626120567322,261,10
POINT (21.815124999997437 -31.33337499999632),0.8553166389465332,439,0
POINT (21.564624999997466 -31.33612499999632),0.8198762536048889,334,10
POINT (21.87687499999743 -30.6416249999964),0.8387323617935181,316,10
POINT (21.70412499999745 -30.857374999996374),0.8198400139808655,368,10
POINT (22.03337499999741 -31.06887499999635),0.8557068109512329,410,9
POINT (22.027374999997413 -30.86362499999637),0.7774341106414795,410,8
POINT (22.321624999997375 -30.56137499999641),0.8046571612358093,345,0
POINT (21.934124999997422 -30.89062499999637),0.8116130232810974,194,4
POINT (22.179124999997395 -31.34062499999632),0.8498477935791016,311,9
POINT (21.674374999997454 -30.82937499999638),0.8210741877555847,400,10
POINT (21.87337499999743 -30.925124999996367),0.8243179321289062,429,5
POINT (21.766374999997442 -30.958374999996362),0.8225472569465637,596,0
POINT (22.357874999997374 -30.965124999996362),0.7464222311973572,338,8
POINT (22.185624999997394 -30.617374999996404),0.8343393206596375,418,0
POINT (22.37187499999737 -31.40037499999631),0.7448901534080505,1067,1
POINT (21.659374999997453 -31.195374999996336),0.8504459261894226,294,7
POINT (22.20712499999739 -30.856624999996374),0.7913806438446045,419,0
POINT (21.821374999997435 -31.380624999996314),0.8520607352256775,228,6
POINT (22.180874999997393 -30.55037499999641),0.8347993493080139,226,7
POINT (22.261874999997385 -31.113374999996346),0.7843217253684998,284,9
POINT (21.70712499999745 -30.684124999996396),0.8435249924659729,122,3
POINT (22.04062499999741 -30.930374999996367),0.7941142320632935,250,10
POINT (22.1318749999974 -31.349624999996315),0.8570011854171753,382,10
POINT (21.729874999997445 -30.96487499999636),0.8230797052383423,191,6
POINT (21.70337499999745 -30.905874999996367),0.8198400139808655,355,2
POINT (21.87512499999743 -30.871124999996372),0.8149537444114685,493,10
POINT (22.339124999997374 -30.88962499999637),0.7530540227890015,415,10
POINT (22.441124999997363 -30.55037499999641),0.8087062835693359,274,0
POINT (21.71337499999745 -30.902124999996367),0.8198400139808655,424,1
POINT (21.93912499999742 -30.749874999996386),0.8121024966239929,291,10
POINT (21.563874999997466 -31.388624999996313),0.8168375492095947,406,0
POINT (21.638624999997457 -30.669624999996397),0.840948760509491,242,0
POINT (22.253874999997386 -30.86662499999637),0.7923588156700134,376,9
POINT (21.860374999997433 -30.921874999996366),0.8243179321289062,214,9
POINT (22.282874999997382 -31.24237499999633),0.7474480867385864,318,9
POINT (21.983624999997417 -31.08212499999635),0.8541425466537476,460,9
POINT (22.346124999997375 -30.95962499999636),0.7464222311973572,420,8
POINT (22.22387499999739 -31.432874999996308),0.8450570702552795,165,5
POINT (21.735624999997444 -30.652374999996397),0.8586905598640442,196,6
POINT (22.154374999997398 -30.571874999996407),0.8393474817276001,354,0
POINT (22.255874999997385 -31.117124999996342),0.8482403755187988,413,10
POINT (21.987124999997416 -30.573374999996407),0.8301265835762024,371,0
POINT (22.195874999997393 -30.97887499999636),0.7918388843536377,165,7
POINT (21.69787499999745 -30.74012499999639),0.8435249924659729,320,9
POINT (21.683624999997452 -30.683624999996393),0.8435249924659729,263,9
POINT (22.009374999997412 -30.55587499999641),0.8381643891334534,179,7
POINT (22.318374999997378 -30.73937499999639),0.8039593696594238,178,5
POINT (22.258374999997386 -31.42112499999631),0.8450002670288086,289,9
POINT (22.092124999997402 -30.961624999996364),0.7169621586799622,193,5
POINT (21.816624999997437 -30.98462499999636),0.8225472569465637,232,7
POINT (22.159874999997395 -30.95587499999636),0.7169621586799622,299,8
POINT (22.080874999997405 -31.434874999996307),0.8490376472473145,273,8
POINT (22.1206249999974 -31.24837499999633),0.8601712584495544,316,0
POINT (22.370874999997373 -30.928874999996367),0.7464222311973572,572,1
POINT (22.260624999997383 -30.952374999996362),0.7539792656898499,271,8
POINT (22.36387499999737 -31.114624999996344),0.7761846780776978,414,9
POINT (22.256124999997386 -31.004374999996358),0.8466532826423645,315,0
POINT (22.326124999997376 -30.792374999996383),0.7582055330276489,335,10
POINT (21.980624999997417 -31.180624999996336),0.8584004044532776,299,9
POINT (22.1091249999974 -30.57312499999641),0.8393474817276001,499,10
POINT (22.21462499999739 -30.6251249999964),0.8343393206596375,283,0
POINT (21.661874999997455 -30.776124999996384),0.8210741877555847,274,9
POINT (22.158624999997397 -30.87612499999637),0.7816603183746338,681,3
POINT (22.261374999997383 -30.6491249999964),0.806488037109375,201,8
POINT (22.258124999997385 -30.6293749999964),0.8389565348625183,361,9
POINT (22.244624999997384 -30.672124999996395),0.8415912985801697,407,0
POINT (22.156874999997395 -31.425874999996307),0.8490376472473145,349,8
POINT (21.61687499999746 -30.576624999996408),0.9788947701454163,251,10
POINT (22.29387499999738 -31.280374999996326),0.7480804920196533,158,9
POINT (21.97587499999742 -31.239124999996328),0.8584004044532776,249,9
POINT (21.806874999997437 -31.432624999996307),0.8516104221343994,395,8
POINT (22.242874999997387 -30.90837499999637),0.7913806438446045,251,7
POINT (22.259124999997386 -30.79037499999638),0.7975103259086609,525,0
POINT (22.037624999997412 -30.874874999996372),0.7774341106414795,448,10
POINT (21.571374999997467 -30.936374999996364),0.8074548244476318,437,10
POINT (22.007624999997415 -30.56337499999641),0.8381643891334534,378,10
POINT (21.68912499999745 -31.352624999996316),0.8216460347175598,414,9
POINT (22.02337499999741 -31.108874999996345),0.8559399247169495,214,7
POINT (22.405874999997366 -30.940374999996365),0.7464222311973572,281,8
POINT (21.575374999997464 -30.934874999996364),0.8074548244476318,343,10
POINT (22.322374999997376 -31.24162499999633),0.7474480867385864,437,9
POINT (22.154124999997396 -31.41437499999631),0.8570011854171753,343,8
POINT (22.367874999997372 -30.842624999996374),0.7554671764373779,283,9
